Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,NC Hours,Utilization%,Is promoted_No,Is promoted_Yes,ProfitCenter_Other,ProfitCenter_PC - 1,ProfitCenter_PC - 2,ProfitCenter_PC - 3
1.0,0.8796785028790787,0.22985581000848176,0.7555610204245906,0.39078156312625245,0.5104124394148218,0.5617745572671902,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.8997120921305182,0.2708863443596268,0.7424744028407333,0.21643286573146292,0.850480264124722,0.5689907583304705,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.868162188099808,0.46172603901611536,0.7777261025872396,0.27054108216432865,0.8052237243763615,0.716825970706216,1.0,0.0,0.0,0.0,1.0,0.0
0.9424184261036468,0.8376919385796545,0.11577608142493638,0.7555610204245906,0.13026052104208416,0.6661435147732699,0.4215049313557066,1.0,0.0,0.0,0.0,0.0,1.0
0.3147792706333973,0.28910748560460653,0.03159457167090755,0.5856790762180746,0.012024048096192383,0.7930281383530647,0.32844880819767525,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.8721209213051823,0.19062765055131467,0.7872567941798823,0.052104208416833664,0.7797516364713964,0.5127181721621998,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.835172744721689,0.13676844783715011,0.801406481333537,0.42084168336673344,0.7106506055783417,0.4603584197087324,1.0,0.0,0.0,1.0,0.0,0.0
0.418426103646833,0.3666026871401151,0.020568278201865988,0.6770348423924566,0.0,0.6221540086657615,0.2515633408883163,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8646833013435701,0.16893129770992368,0.7965656803542148,0.05611222444889779,0.6935324876287633,0.5023421865853364,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.9049904030710172,0.11747243426632739,0.750488482525517,0.03206412825651302,0.7746359565925549,0.4170712888626938,0.0,1.0,0.0,0.0,0.0,1.0
0.3877159309021113,0.3666026871401151,0.15267175572519084,0.564873828891686,0.0,0.8027237140448801,0.5608822013309445,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8949136276391554,0.6064461407972859,0.7478734209791346,0.23246492985971942,0.742023331734897,0.809597845477054,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8738003838771593,0.10623409669211197,0.7567978393091745,0.4729458917835671,0.8898386239995089,0.4183913169766472,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9073896353166986,0.1530958439355386,0.7491877442421842,0.008016032064128256,0.8452615034426088,0.4698252676279839,1.0,0.0,0.0,0.0,0.0,1.0
0.2092130518234165,0.18378119001919385,0.007633587786259542,0.5856790762180746,0.008016032064128256,0.7821496855738167,0.22305784094087833,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9163867562380038,0.3210347752332485,0.7130932149086325,0.24248496993987975,0.29859105219061205,0.6375613614654855,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9030710172744721,0.13273960983884647,0.7382674826894995,0.20841683366733466,0.9545463220103007,0.46834751960022375,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.9066698656429942,0.052798982188295165,0.7382674826894995,0.14829659318637273,0.9476872352865634,0.30596170600775685,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8877159309021113,0.08025869380831213,0.7740245031279698,0.0,0.9705989953743538,0.38236667228741195,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8937140115163148,0.939571670907549,0.7375524506036939,0.3727454909819639,0.3349418217941311,0.9569123597587306,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.9424184261036468,0.3708651399491094,0.6673960424586965,0.16032064128256512,0.4203124199332686,0.674824320365732,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.90978886756238,0.3469041560644614,0.7465452259742763,0.0,0.9137555347782811,0.6830488362512321,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.8831573896353166,0.2970737913486005,0.7761530157473222,0.044088176352705406,0.2597553778884188,0.5941531374308332,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.8881957773512476,0.02873197625106022,0.7567978393091745,0.23246492985971942,0.934775469449523,0.25225237418951246,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.876799424184261,0.24740245971162,0.7685401795944521,0.2625250501002004,0.8907420978245442,0.5998627354975952,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8573656429942418,0.5570398642917727,0.7891744740843544,0.2665330661322645,0.8141845295914839,0.8129559304924008,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8705614203454894,0.2642069550466497,0.7840768601494655,0.13026052104208416,0.9204997915419639,0.5994723562409455,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8785988483685221,0.3393765903307888,0.7567978393091745,0.3927855711422845,0.8638161049966041,0.6650902814966744,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8627639155470249,0.3326972010178117,0.7707626710626553,0.46492985971943884,0.911233417422742,0.6550673528333552,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.9003119001919385,0.1388888888888889,0.7517759137900308,0.09418837675350701,0.916758347412944,0.4650677824601098,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9287428023032629,0.323579304495335,0.7130932149086325,0.03607214428857715,0.9012073806329326,0.580538504866685,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8970729366602687,0.3162637828668363,0.7438460274113377,0.2444889779559118,0.9389862181106542,0.610292910744262,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.7232485604606526,0.27989821882951654,0.8814172862715047,0.21442885771543085,0.8791899882677503,0.6488227683638914,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.8925143953934741,0.0,0.7685401795944521,0.0,0.9719731019343725,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.5978886756238003,0.3412849872773537,0.9322525220446412,0.11222444889779558,0.823465980098739,0.6860062852964445,1.0,0.0,0.0,0.0,0.0,1.0
0.20345489443378117,0.18426103646833014,0.1458863443596268,0.5530208097515785,0.0,0.5195107557768376,0.72523522366836,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.9006717850287908,0.34838846480067853,0.7198744004962151,0.44088176352705405,0.9033272006396087,0.6379760480607911,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.8614443378119001,0.45525869380831213,0.7882192868910869,0.21442885771543085,0.8617760583920483,0.7343621922654446,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8535268714011516,0.0,0.803546759256605,0.07414829659318636,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8752399232245681,0.4190055131467345,0.7813219274586104,0.09619238476953906,0.9090086061162383,0.7226183213329773,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.8411708253358925,0.2958015267175573,0.7843243436285254,0.6172344689378757,0.9127111837539498,0.6495825656633428,1.0,0.0,0.0,0.0,1.0,0.0
0.13051823416506717,0.08445297504798464,0.07124681933842239,0.6622848705953013,0.0,0.43901762498583574,0.7438864487254375,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8919145873320538,0.4802798982188295,0.729406675985105,0.49098196392785565,0.8420159588792747,0.7624251101586036,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9209452975047985,0.27215860899067007,0.7223260100130425,0.0781563126252505,0.3805347504706124,0.5872167996101932,0.0,1.0,0.0,1.0,0.0,0.0
0.6065259117082533,0.5316698656429942,0.4944868532654792,0.7198744004962151,0.03206412825651302,0.0,0.9109314046479431,1.0,0.0,1.0,0.0,0.0,0.0
0.6142034548944337,0.5307101727447217,0.35793044953350295,0.729406675985105,0.08016032064128256,0.7404574841127842,0.7049837493531175,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.8965930902111324,0.4851569126378287,0.7929243324003463,0.4448897795591182,0.7840337058001421,0.7028073785784352,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.8926343570057581,0.21723918575063614,0.7567978393091745,0.15831663326653306,0.8566218084715544,0.5316394796376621,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.9217850287907869,0.323579304495335,0.7263087888850158,0.024048096192384766,0.917289332181111,0.6138989824095344,0.0,1.0,0.0,0.0,1.0,0.0
0.7370441458733206,0.6353166986564299,0.15161153519932147,0.7182130521631276,0.49699398797595185,0.8975081240983652,0.5275428018366725,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.9129078694817658,0.9781594571670907,0.7382674826894995,0.044088176352705406,0.3757087837842107,0.9413591298997643,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.9414587332053742,0.07675996607294318,0.6859876160753072,0.04809619238476953,0.9668435979308216,0.3205526605340992,1.0,0.0,0.0,0.0,0.0,1.0
0.02111324376199616,0.02111324376199616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.36468330134357,0.3267754318618042,0.18341815097540287,0.5949195786539756,0.1843687374749499,0.5252091970294374,0.6320094931538675,1.0,0.0,0.0,0.0,1.0,0.0
0.2418426103646833,0.19001919385796545,0.09329940627650551,0.6770348423924566,0.0,0.6935324876287633,0.5990719697896706,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.8584452975047985,0.7135284139100933,0.7947581762686986,0.15230460921843686,0.7435687101738331,0.8713651802333648,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3166986564299424,0.12881679389312978,1.0,0.09619238476953906,0.779347189388103,0.5556188127854204,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.6530710172744721,0.3564461407972858,0.9054805683412486,0.4569138276553106,0.7356315174263826,0.6865789974124675,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.8393714011516314,0.6032654792196777,0.7956651734095211,0.4549098196392785,0.8579628482143372,0.8150470448639908,1.0,0.0,0.0,0.0,1.0,0.0
0.7312859884836852,0.6900191938579654,0.06467345207803223,0.6115845914938544,0.17635270541082163,0.9312192213832766,0.35885413347647077,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.9117082533589251,0.4618617472434267,0.7130932149086325,0.32064128256513025,0.7977757855714785,0.7177870825698297,1.0,0.0,0.0,0.0,1.0,0.0
0.2533589251439539,0.19577735124760076,0.10432569974554708,0.6815908262218137,0.06412825651302605,0.7000476218754381,0.619010447994092,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8499280230326295,0.0,0.8101608426920488,0.0060120240480961915,0.9667274114181372,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.8759596928982725,0.0,0.7843243436285254,0.03607214428857715,0.9709840763895611,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.21497120921305182,0.1816218809980806,0.08312128922815945,0.6191565176424488,0.012024048096192383,0.6951952403152496,0.5824572786048651,1.0,0.0,0.0,0.0,0.0,1.0
0.7600767754318618,0.6728646833013435,0.4087150127226463,0.729406675985105,0.14228456913827653,0.8125438280001966,0.7709713239657637,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9076295585412668,0.4616200169635284,0.7263087888850158,0.2605210420841683,0.8742478921347404,0.7511744015254933,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.8812380038387716,0.553011026293469,0.7410876636455754,0.5410821643286573,0.8531143077453733,0.8015699263500198,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.5537428023032629,0.2035623409669211,0.9455650586058418,0.11222444889779558,0.828008191502547,0.6304065243158163,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.8904750479846448,0.3837998303647159,0.7561809493065168,0.20240480961923846,0.7744671917285757,0.6787047033868143,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.8515115163147792,0.46119592875318066,0.800104621704106,0.17194388777555109,0.8563559895138024,0.7702508817499308,1.0,0.0,0.0,0.0,1.0,0.0
